job_title,company_name,posted_date,num_applications,job_modality,f_p_time,job_responsibility,job_skills,job_keyword,city,community_or_nation,country,annual_salary,offer_id
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,2024-02-28,26,,,Senior,,Data Analyst,Barcelona,Cataluña,España,,42
Lease Data Analyst - INGKA Centres,Ingka Centres,2024-02-21,37,Presencial,Jornada completa,,,Data Analyst,San Sebastián de los Reyes,Comunidad de Madrid,España,,43
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,2024-02-28,17,,,Senior,,Data Analyst,Málaga,Andalucía,España,,44
Data Analyst intern,ZINIO,2024-02-13,728,Híbrido,Jornada completa,,,Data Analyst,Barcelona,Cataluña,España,,45
Senior Marketing Data Analyst - Monopoly GO!,Scopely,2024-02-28,511,Híbrido,Jornada completa,Senior,,Data Analyst,Barcelona,Cataluña,España,,46
Técnico/a analista de datos,365 Obrador,2024-03-09,95,Presencial,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,47
Senior Data Analyst Team Lead,Devire,2024-02-21,17,Híbrido,Jornada completa,Senior,,Data Analyst,Santa Cruz de Tenerife,Canarias,España,,48
Sales Operations Data Analyst Intern,Criteo,2024-03-10,62,Híbrido,,Junior,,Data Analyst,Barcelona,Cataluña,España,,49
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,2024-02-28,15,,,Senior,,Data Analyst,Bilbao,País Vasco,España,,50
Online Data Analyst,TELUS International,2024-02-21,83,En remoto,Media jornada,Junior,,Data Analyst,Valladolid,Castilla y León,España,,51
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,2024-02-28,18,,,Senior,,Data Analyst,Valencia,Comunidad Valenciana,España,,52
Data Analyst Internship,Johnson & Johnson,2024-03-07,377,Presencial,Jornada completa,,,Data Analyst,Barcelona,Cataluña,España,,53
Swedish Language Data Analyst,TELUS International,2024-02-28,8,Presencial,Jornada completa,Junior,,Data Analyst,Barcelona,Cataluña,España,,54
"Senior Data Analyst (Bangkok Based, relocation provided)",Agoda,2024-03-11,14,,,Senior,,Data Analyst,Madrid,Comunidad de Madrid,España,,55
Ops Tech Data Engineer / Analyst,HelloFresh,2024-02-28,848,,,Junior,,Data Analyst,Barcelona,Cataluña,España,,56
Data Analyst | BI Specialist  | Paris or Barcelona | Major company | 50% Remote,Talent-R,2024-02-28,385,Presencial,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,57
Beca Consultoría de Riesgos - Data Analyst (R y Python),Marsh,2024-03-06,94,Híbrido,,Junior,,Data Analyst,Madrid,Comunidad de Madrid,España,,58
Data Analyst Portfolio,Banco Sabadell,2024-03-09,135,Híbrido,Jornada completa,,,Data Analyst,Sant Cugat del Vallès,Cataluña,España,,59
Data and Pricing Analyst(m/f/d),DEKRA España,2024-03-06,288,Híbrido,Jornada completa,Intermedio,,Data Analyst,Madrid,Comunidad de Madrid,España,,60
Energy Data Analyst,Siemens Energy,2024-02-28,1109,Presencial,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,61
Valuations Data Analyst,CBRE España,2024-02-21,56,Híbrido,Jornada completa,Junior,,Data Analyst,,Comunidad de Madrid,España,,62
Analytics & Tagging Specialist_Sr Analyst,Accenture España,2024-02-28,31,Híbrido,Jornada completa,Intermedio,,Data Analyst,Madrid,Comunidad de Madrid,España,,63
Technical Data Analyst ESG,LHH,2024-03-06,38,Presencial,Jornada completa,Intermedio,,Data Analyst,Madrid,Comunidad de Madrid,España,,64
Business Analyst – Metadata Management & Data Governance,AstraZeneca,2024-03-09,14,,,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,65
Sales Support Data Analyst,Axalta Coating Systems,2024-02-28,18,Presencial,Jornada completa,Junior,,Data Analyst,Asturias,España,,,66
Amplifon GAES_ Retail Store Performance Data Analyst,Amplifon,2024-02-21,56,Híbrido,Jornada completa,Junior,,Data Analyst,Barcelona,Cataluña,España,,67
Data and Innovation Analyst - Internal Audit,Air Products,2024-03-06,30,En remoto,Jornada completa,,,Data Analyst,Cornellà de Llobregat,Cataluña,España,,68
Entry Level SAP BI Technical Support Analyst,Eursap - Europe's #1 SAP Recruitment Agency ⭐️⭐️⭐️⭐️⭐️,2024-02-28,90,Híbrido,Jornada completa,Junior,,Data Analyst,Barcelona,Cataluña,España,,69
Consumer Panel Data (CPS) Consultant&Analyst Director Iberia,NielsenIQ,2024-03-06,35,Presencial,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,70
Senior E-commerce Data Analyst – Luxury Brand,Carl Friedrik,2024-02-14,793,Híbrido,Jornada completa,Senior,,Data Analyst,Barcelona,Cataluña,España,,71
SAP Analytics Consultant,Accenture España,2024-02-28,1046,,,Junior,,Data Analyst,Madrid,Comunidad de Madrid,España,,72
Business Insight Senior Analyst,SII Group Spain,2024-02-28,66,Híbrido,Jornada completa,Senior,,Data Analyst,Viladecans,Cataluña,España,,73
Consumer Panel Data (CPS) Consultant&Analyst Director Iberia,NielsenIQ,2024-03-06,41,Presencial,Jornada completa,Intermedio,,Data Analyst,Madrid,Comunidad de Madrid,España,,74
Consultor/a riesgos financieros (Quant Analyst),Mazars España,2024-03-06,1104,Híbrido,Jornada completa,Intermedio,"Análisis de datos y Ciencia de datos, Analítica, Análisis cuantitativo, Análisis financiero cuantitativo, Estadística, Maquettes, Modelos de riesgo, Riesgo de crédito y Validación de modelos",Data Analyst,Barcelona,Cataluña,España,,75
"Senior Data Analyst, Global Tax Services",Amazon,2024-03-12,60,,,Senior,"Analítica de datos y SQL, Adquisición indirecta, Analítica, Analítica empresarial, Cumplimiento de obligaciones fiscales, Especificaciones técnicas, Gestión de datos, Impuestos indirectos y Necesidades empresariales",Data Analyst,Barcelona,Cataluña,España,,76
