job_title,company_name,posted_date,num_applications,job_modality,f_p_time,job_responsibility,job_skills,job_keyword,city,community_or_nation,country,annual_salary,offer_id
Data Analyst Manager,Ankorstore,2024-03-06,324,En remoto,Jornada completa,Junior,"Analítica de datos, Análisis de datos, Capacidad de análisis, Comunicación, SQL, Visualización y Visualización de datos, Analítica, Estrategia de datos y Necesidades empresariales",Data Analyst,,,Reino Unido,,210
Pensions Business Data Analyst - Fixed Term Contract,Capita,2024-02-21,1138,En remoto,Jornada completa,Intermedio,"Analítica de datos, Análisis de datos, Bases de datos, Microsoft Power BI y Visualización de datos, Análisis de negocio, Estadística, Extraer, transformar y cargar (ETL), Modelado de datos y Necesidades empresariales",Data Analyst,,,Reino Unido,,211
Technical Data Analyst,Hays,2024-02-28,1003,En remoto,Jornada completa,Junior,"Analítica de datos, Análisis de datos, Comunicación, Limpieza de datos, Visualización y Visualización de datos, Comunicación escrita, Matemáticas, Modelado de datos y Razonamiento",Data Analyst,,,Reino Unido,,212
Rev-celerator Internship Programme: Data Analyst,Revolut,2024-03-06,397,En remoto,,Junior,,Data Analyst,,,Reino Unido,,213
Support Data Analyst,Chamberlain Advisors,2024-02-28,373,Híbrido,,Junior,"Analítica de datos, Bases de datos, Ciencia de datos, Visualización y Visualización de datos, Alteryx, Analítica, Análisis de marketing, Informes de rendimiento y Operaciones de marketing",Data Analyst,Bannockburn,Escocia,Reino Unido,,214
Data Analyst,Natural Power,2024-02-28,468,Presencial,Jornada completa,,"Analítica de datos, Análisis de datos, Bases de datos, Capacidad de análisis, Resolución de problemas y Visualización de datos, Analítica, Estadística, Informes de rendimiento y Modelado de datos",Data Analyst,Glasgow,Escocia,Reino Unido,,215
Real World Data (RWD) Analyst - Link SiteBase,Veeva Systems,2024-03-06,432,En remoto,Jornada completa,,"Analítica de datos, Análisis de datos, Bases de datos, Ciencia de datos y Comunicación, Analítica, Calidad de datos, Comunicación oral, Gobierno de datos y Ingeniería de datos",Data Analyst,,,Reino Unido,,216
Junior Business Intelligence Analyst,Alexander Dennis,2024-02-28,923,En remoto,Jornada completa,Intermedio,"Comunicación, Adquisición de datos, Extraer, transformar y cargar (ETL), Habilidades sociales, Herramientas de informes, Indicadores clave de desempeño, Necesidades empresariales, Panel de control, Qlik Sense y QlikView",Data Analyst,,,Reino Unido,,217
Business Intelligence Analyst,Revalue Nature,2024-02-28,79,En remoto,Jornada completa,Intermedio,"Analítica de datos, Bases de datos, Capacidad de análisis, Comunicación, Resolución de problemas y Visualización de datos, Análisis estadístico, Atención al detalle, Modelado de datos y Panel de control",Data Analyst,,,Reino Unido,,218
Data Analyst - REMOTE,Braintrust,2024-02-13,326,En remoto,Jornada completa,Junior,"Analítica de datos, Comunicación y Inglés, Almacenamiento de datos, Dirección de reuniones, Especificaciones técnicas, MicroStrategy, Modelado de datos, Pensamiento crítico y SQL Server Management Studio",Data Analyst,Europa,,,,219
Data Analyst,DataAnnotation,2024-03-12,663,En remoto,,,"Python y SQL, C#, C++, HTML y JavaScript",Data Analyst,,,Reino Unido,,220
BI Functional/Data Analyst,Genus PLC,2024-03-06,827,En remoto,Jornada completa,Intermedio,"Analítica de datos, Ciencia de datos, Visualización y Visualización de datos, Analítica, Asignación de datos, Gobierno de datos, Historias de usuarios, Minería de datos y Necesidades empresariales",Data Analyst,,,Reino Unido,,221
Data Operations Analyst,BlackRock,2024-03-09,97,Híbrido,Jornada completa,,"Analítica de datos, Análisis de datos, Capacidad de análisis, Comunicación y Resolución de problemas, Análisis financiero cuantitativo, Comunicación escrita, Expertos en la materia, Pensamiento crítico y Rentas fijas",Data Analyst,,Edimburgo,España,,222
Sales Data Analyst,QA Ltd,2024-03-10,793,En remoto,Jornada completa,Junior,"Analítica de datos, Análisis de datos, Capacidad de análisis, Comunicación, Microsoft Power BI y Visualización de datos, Especificaciones técnicas, Gestión de partes interesadas, Interpretación de datos y Panel de control",Data Analyst,,,Reino Unido,,223
Digital Analytics Consultant,Harnham,2024-01-13,141,En remoto,,Intermedio,"Adobe Analytics, Análisis web y Google Analytics",Data Analyst,,,Reino Unido,60000,224
Assistant Manager - Data Analyst,JTC Group,2024-03-06,66,Híbrido,Jornada completa,Intermedio,"Analítica de datos, Aptitudes de organización, Capacidad de análisis, Comunicación y Resolución de problemas, Alteryx, Atención al detalle, Crystal Reports, Procedimientos de almacenado y Requisitos de información",Data Analyst,,Edimburgo,España,,225
Data Analyst Role - Edinburgh,Adecco,2024-02-14,41,Presencial,,Junior,"Analítica de datos y Microsoft Power BI, Aplicaciones de Oracle Fusion (OFA), Conocimientos comerciales, Datasets, Datos financieros, Expresiones de análisis de datos (DAX), Indicadores clave de desempeño, Microsoft Power Automate y Oracle Fusion Middleware",Data Analyst,Balerno,Escocia,Reino Unido,,226
Data Analyst - REMOTE,Braintrust,2024-02-13,262,En remoto,Jornada completa,Junior,"Analítica de datos, Comunicación y Inglés, Almacenamiento de datos, Dirección de reuniones, Especificaciones técnicas, MicroStrategy, Modelado de datos, Pensamiento crítico y SQL Server Management Studio",Data Analyst,,,Reino Unido,,227
Clinical Statistician - Remote - Outside IR35,RemoteWorker UK,2024-03-12,9,En remoto,Jornada completa,Intermedio,"Análisis de datos estadísticos, Capacidad de análisis y Ciencia de datos, Bioestadística, Economía, Estadística, Modelos estadísticos, Programación SAS, Recogida de datos y SPSS",Data Scientist,,,Reino Unido,,228
Staff Product Data Analyst,Chainalysis,2024-02-28,27,En remoto,Jornada completa,Intermedio,"Analítica de datos y Ciencia de datos, Análisis complejo, Datasets, Indicadores clave de desempeño, Modelado de datos, Pendo Property Management, Presentaciones, Snowflake y Snowflake cloud",Data Analyst,,,Reino Unido,,229
Staff Data Analyst,Bazaarvoice,2024-03-07,888,En remoto,Jornada completa,Intermedio,"Analítica de datos, Ciencia de datos, Comunicación, Visualización y Visualización de datos, Analítica, Análisis cuantitativo, Ciencias de la computación, Gobierno de datos y Indicadores clave de desempeño",Data Analyst,,,Reino Unido,,230
Portfolio Data Operations Analyst (Edinburgh),Addepar,2024-02-28,790,Presencial,Jornada completa,Intermedio,"Capacidad de análisis, Comunicación y Resolución de problemas, Eficiencia operativa, Establecer prioridades del trabajo, Habilidades sociales, Líneas de tiempo, Multitarea, Operaciones de oficina y Post-Trade Processing",Data Analyst,,Edimburgo,España,,231
Strategic Onchain Data Analyst,Optimism Unlimited,2024-03-06,79,En remoto,Jornada completa,Intermedio,"Analítica de datos, Capacidad de análisis, Comunicación, Resolución de problemas y Visualización de datos, Analítica, Blockchain, Estadística, Estrategias de crecimiento y Technical Proficiency",Data Analyst,Europa,,,,232
Senior Data Analyst - Lifecycle Marketing,Deel,2024-02-21,838,En remoto,Jornada completa,Senior,"Ciencia de datos, Analítica, Braze, Ciencias de la computación, Extraer, transformar y cargar (ETL), Herramientas ETL, Marketing de cuentas, Marketing de empresas, Snowflake y Snowflake cloud",Data Analyst,,,Reino Unido,,233
Remote Senior Data Analyst - Pensions and Savings,RemoteWorker UK,2024-02-28,25,En remoto,Jornada completa,Senior,"Analítica de datos, Bases de datos, Capacidad de análisis, Comunicación y Visualización de datos, Documentación, Escenarios de prueba, Estadística, Extraer, transformar y cargar (ETL) y Necesidades empresariales",Data Analyst,,,Reino Unido,,234
Senior Data Analyst - Lifecycle Marketing,Deel,2024-02-21,1132,En remoto,Jornada completa,Senior,"Ciencia de datos, Analítica, Braze, Ciencias de la computación, Extraer, transformar y cargar (ETL), Herramientas ETL, Marketing de cuentas, Marketing de empresas, Snowflake y Snowflake cloud",Data Analyst,Europa,,,,235
Apprenticeship - Data Analyst - Lead IQA,Pearson,2024-02-28,160,En remoto,,Intermedio,,Data Analyst,,,Reino Unido,,236
ERP Master Data Senior Analyst/Analyst,Meraki Talent Ltd,2024-02-21,896,Presencial,Jornada completa,Senior,"Capacidad de análisis, Atención al detalle, Catalogue Design, Datos maestros, ERP de Infor, Gestión de datos, Gestión de datos maestros, Gobierno de datos, Instrucciones de trabajo y Planificación de recursos empresariales (ERP)",Data Analyst,North Lanarkshire,Escocia,Reino Unido,,237
Senior Analytics and Insights Analyst,Pearson,2024-03-12,5,En remoto,Jornada completa,Senior,"Confluence, Disparadores de base de datos, HTML, Hotjar, Iframes, JIRA, Lado del servidor, Obtención de requisitos, Tecnologías web y Validación del sistemas informáticos (CSV)",Data Analyst,,,Reino Unido,,238
Data Analyst - Fraud (Snowflake or Alteryx),Project People,2024-03-10,61,Híbrido,,Intermedio,"Analítica de datos, Análisis de datos, Capacidad de análisis, Microsoft Power BI y Visualización de datos, Alteryx, Extracción de datos, Investigaciones de fraude, Snowflake y Snowflake cloud",Data Analyst,Glasgow,Escocia,Reino Unido,,239
Senior Biostatistician,Meet,2024-02-21,96,En remoto,Jornada completa,Senior,SAS,Data Scientist,,,Reino Unido,,240
Senior Biostatistician,ICON Strategic Solutions,2024-03-09,53,En remoto,Jornada completa,Senior,"Bioestadística, Buena práctica clínica, Desarrollo clínico, Ensayos clínicos, Estadística, Fármacos, Google Cloud , Methodology, Presentaciones y Software estadístico",Data Scientist,,,Reino Unido,,241
Senior Biostatistician,ICON Strategic Solutions,2024-03-10,4,En remoto,Jornada completa,Senior,"Bioestadística, Buena práctica clínica, Ensayos clínicos, Estadística, Estándares CDISC, Google Cloud , ICH, Líneas de tiempo, Presentaciones y SAS",Data Scientist,,,Reino Unido,,242
Principal Biostatistician,Hyper Recruitment Solutions,2024-03-12,18,En remoto,,Intermedio,Bioestadística,Data Scientist,,,Reino Unido,32500,243
Senior Statistician,ICON Strategic Solutions,2024-03-11,9,En remoto,Jornada completa,Senior,"Capacidad de análisis, Bioestadística, Buena práctica clínica, Control de calidad, Ensayos clínicos, Estadística, Estándares CDISC, Líneas de tiempo, Presentaciones y SAS",Data Scientist,,,Reino Unido,,244
Quantitative Researcher,Plexus Resource Solutions,2024-02-21,961,En remoto,Jornada completa,Intermedio,C++,Data Scientist,Europa,,,,245
Senior Statistician,Warman O'Brien,2024-03-06,39,En remoto,Jornada completa,Senior,"Análisis de datos estadísticos, Buena práctica clínica, Desarrollo clínico, Ensayos clínicos, Estándares CDISC, Modelos estadísticos, Planificación estratégica, Presentaciones regulatorias y SAS",Data Scientist,,,Reino Unido,,246
SENIOR SALESFORCE LIGHTNING DEVELOPER,Neurored TMS & SCM,2024-03-10,24,Híbrido,Jornada completa,Senior,"Angular, Diseño de frameworks, Frameworks de JavaScript, JavaScript, Lightning, Methodology, Programación Apex, Salesforce.com, Scrum y Skill Development",Data Engineer,Madrid,Comunidad de Madrid,España,,247
Programador/a VBA,Vanture ESS,2024-03-06,26,Híbrido,Jornada completa,Intermedio,"Facilidad de adaptación y SQL, Catalán, Español, ServiceNow, VBA para Access y Visual Basic for Applications (VBA)",Data Analyst,Barcelona,Cataluña,España,,248
Data Engineer,IN2 INGENIERIA DE LA INFORMACION,2024-03-11,22,Híbrido,Jornada completa,Intermedio,,Data Engineer,Barcelona,Cataluña,España,,249
Analytics Engineer,Storytel,2024-03-11,11,Híbrido,,Intermedio,"Analítica de datos, Python, SQL y Visualización de datos, Extraer, transformar y cargar (ETL), Google BigQuery, Google Cloud , Ingeniería de datos , Looker (software) y Modelado de datos",Data Analyst,Barcelona,Cataluña,España,,250
Data Enigneer,"WhereTo, a Flight Centre company",2024-03-06,44,Híbrido,Jornada completa,Junior,"Analítica de datos, Ciencia de datos, Comunicación, Resolución de problemas y Visualización de datos, Analítica, Análisis estadístico, Manipulación de datos, Presentaciones y Recogida de datos",Data Engineer,Barcelona,Cataluña,España,,251
Software Quality Engineer,"SQS-Software Quality Systems, S.A.",2024-03-10,16,Presencial,Jornada completa,,"Inglés, Aseguramiento de la calidad, Ciclo de vida de desarrollo de software (SDLC), Dispositivos médicos, Documentación técnica, IEC 62304, ISO 13485, Pruebas de software y Validación y verificación",Data Engineer,Rivas-Vaciamadrid,Comunidad de Madrid,España,,252
Principal Data Engineer,Bunge,2024-03-06,11,Presencial,Jornada completa,Intermedio,"Analítica de datos, Ciencia de datos, Comunicación y Resolución de problemas, Arquitectura de datos, Estrategia de datos, Estándares de datos, Extraer, transformar y cargar (ETL), Ingeniería de datos  y Modelado de datos",Data Engineer,Sant Just Desvern,Cataluña,España,,253
Data Engineer (80% Teletrabajo),Oxigent Technologies,2024-03-06,58,Híbrido,Jornada completa,Intermedio,"Bases de datos, Ciencia de datos, Python y SQL, Almacenamiento de datos, Automatización de la compilación, Control de versiones, Extraer, transformar y cargar (ETL), Infraestructura en la nube y Ingeniería de datos",Data Engineer,Bajo Llobregat,Cataluña,España,,254
"Data Engineer (Python, AWS) - Barcelona",Gartner,2024-02-28,57,Híbrido,Jornada completa,,"Analítica empresarial, Arquitectura de datos, Data Operations, Functionality, Gobierno de datos, Ingeniería de datos , Modelado de datos, Necesidades empresariales, Oracle Meter Data Management (MDM) y Procedimientos de almacenado",Data Engineer,Barcelona,Cataluña,España,,255
Junior Data Engineer,Applus+ Laboratories,2024-02-13,750,Presencial,Jornada completa,Intermedio,"Analítica de datos, Bases de datos, Ciencia de datos, Comunicación y Resolución de problemas, Atención al detalle, Automatización de procesos, Ciencias de la computación, Extraer, transformar y cargar (ETL) y Ingeniería de datos",Data Engineer,Cerdanyola del Vallès,Cataluña,España,,256
Data Engineer,TransUnion,2024-03-11,14,Híbrido,Jornada completa,,"Analítica de datos, Bases de datos, Ciencia de datos, Comunicación y Resolución de problemas, Apache Spark, Big data, Google BigQuery, Hive y Ingeniería de datos",Data Engineer,Madrid,Comunidad de Madrid,España,,257
Data Engineer (Analytics Team),Semrush,2024-03-06,871,En remoto,Jornada completa,Junior,"Ciencia de datos y SQL, Airflow, Apache Spark, Big data, ClickHouse, Extraer, transformar y cargar (ETL), Fuentes de datos, Modelado de datos y Modelo de datos",Data Analyst,,Cataluña,España,,258
Data Engineer,Tenth Revolution Group,2024-03-08,59,Híbrido,Jornada completa,Intermedio,"SQL, Extraer, transformar y cargar (ETL)",Data Engineer,Madrid,Comunidad de Madrid,España,,259
Ingeniero de datos (ETL),NTT DATA Europe & Latam,2024-03-09,384,Híbrido,Jornada completa,Intermedio,"Administración, Administración pública, Amazon Web Services (AWS), Analítica, Automatización robótica de procesos, Casos de uso, Extraer, transformar y cargar (ETL), Ingeniería, Modelado de datos y Modelo de datos",Data Engineer,Madrid,Comunidad de Madrid,España,,260
Data Management Engineer,SDG Group España,2024-02-28,948,Híbrido,Jornada completa,Intermedio,"Capacidad de análisis, Comunicación y SQL, Almacenamiento de datos, Comunicación oral, Equipos multidisciplinarios, Español, Extraer, transformar y cargar (ETL), Gestión de datos y Toma de decisiones",Data Engineer,Barcelona,Cataluña,España,,261
Data Engineer,Amaris Consulting,2024-02-28,39,Híbrido,Jornada completa,Intermedio,Amazon Web Services (AWS) y Snowflake,Data Engineer,Barcelona,Cataluña,España,,262
Data Engineer,Collabera Digital,2024-02-28,53,Presencial,,Intermedio,"Capacidad de análisis y Python, Adquisición de conocimientos, Amazon Web Services (AWS), Athena Health, Inteligencia empresarial, Microsoft Power Platform, Necesidades empresariales, Office 365, Powershell y PySpark",Data Engineer,Madrid,Comunidad de Madrid,España,,263
Cloud Engineer,Bunge,2024-03-06,5,Presencial,Jornada completa,Intermedio,"Comunicación y Resolución de problemas, Desarrollo de software, DevOps, Google Cloud , Google Kubernetes Engine (GKE) y Integración continua y entrega continua (CI/CD)",Data Engineer,Sant Just Desvern,Cataluña,España,,264
Ingeniero/a de datos,IOON,2024-03-09,25,Presencial,Jornada completa,Intermedio,"Inglés y Microsoft Power BI, Big data, Calidad de datos, Control de calidad de los datos, Elasticsearch, Ingeniería y Linux",Data Engineer,Madrid,Comunidad de Madrid,España,,265
Business Intelligence Developer (Power BI),Kantox,2024-02-28,940,Híbrido,Jornada completa,Intermedio,"Analítica de datos, Análisis de datos, Bases de datos y Resolución de problemas, Athena, Athena Health, Datos no estructurados, Expresiones de análisis de datos (DAX), Inteligencia empresarial y Lenguajes de programación",Data Engineer,Barcelona,Cataluña,España,,266
Data Engineer,Merkle,2024-03-06,402,Híbrido,Jornada completa,Intermedio,"Bases de datos y Ciencia de datos, Almacenamiento de datos, Apache Spark, Extraer, transformar y cargar (ETL) y Ingeniería de datos",Data Engineer,Madrid,Comunidad de Madrid,España,,267
Data Collection Engineer,JAKALA,2024-02-21,16,Híbrido,Jornada completa,Intermedio,"Bases de datos, Ciencia de datos y Resolución de problemas, Almacenamiento de datos, Analítica, Análisis web, Documentación, Implementación de soluciones, Ingeniería de datos  y Recogida de datos",Data Engineer,Madrid,Comunidad de Madrid,España,,268
Data Analytics Engineer (they/she/he),Glovo,2024-02-28,42,Presencial,Jornada completa,Intermedio,"Python y SQL, Airflow, Amazon Web Services (AWS) y Extraer, transformar y cargar (ETL)",Data Analyst,Barcelona,Cataluña,España,,269
Data Engineer,K-LAGAN,2024-03-09,26,Híbrido,Jornada completa,Intermedio,"Inglés y SQL, Analítica, Computación en la nube, Desarrollo de API, Java, Microsoft Azure, Powershell, Programación de aplicaciones y Scala",Data Engineer,Barcelona,Cataluña,España,,270
Analytics Engineer,Lighthouse,2024-02-28,18,Híbrido,Jornada completa,Junior,"Analítica de datos, Análisis de datos, Bases de datos, Comunicación y Resolución de problemas, Calidad de datos, Comunicación oral, Enfoque lógico, Establecer prioridades del trabajo y Google BigQuery",Data Analyst,Madrid,,,,271
Data Engineer,Clarity AI,2024-02-28,45,Presencial,Jornada completa,Intermedio,"Ciencia de datos, Comunicación y Pandas (Software), Almacenamiento de datos, Amazon Redshift, Canalizaciones de datos, Extraer, transformar y cargar (ETL), Ingeniería de datos , Modelado de datos y Scala",Data Engineer,,Comunidad Valenciana,España,,272
Principal Data Engineer / Data Architect,HP,2024-03-12,46,,,,"Comunicación, Pandas (Software) y SQL, Datos no estructurados, Extraer, transformar y cargar (ETL), Ingeniería de datos , Integración de datos, Modelado de datos, NoSQL y PySpark",Data Engineer,Barcelona,Cataluña,España,,273
Python Data Engineer (Remote),Veeva Systems,2024-03-06,775,En remoto,Jornada completa,,"Amazon RDS, Arquitectura técnica, Canalizaciones de datos, Django, Elasticsearch, FastAPI, Flask, GraphQL, PostgreSQL y Transferencia de Estado Representacional (REST)",Data Engineer,,,España,,274
Senior Data Engineer,Bunge,2024-03-06,7,Presencial,Jornada completa,Senior,"Analítica de datos, Bases de datos y Ciencia de datos, Almacenamiento de datos, Desarrollo de base de datos, Estándares de datos, Extraer, transformar y cargar (ETL), Gobierno de datos, Google BigQuery y Ingeniería de datos",Data Engineer,Sant Just Desvern,Cataluña,España,,275
Oracle BI Developer,Principal33 España,2024-03-06,66,En remoto,Jornada completa,Intermedio,"Aplicaciones de Oracle, Herramientas de inteligencia de negocios, Inteligencia empresarial, Oracle BIEE y Oracle Database",Data Engineer,Barcelona,Cataluña,España,,276
Ingeniero de datos,CGI,2024-03-09,21,Presencial,Jornada completa,Intermedio,"Bases de datos, Ciencia de datos y Microsoft Power BI, Ciencias de la computación, Control de versiones, Google BigQuery, Google Cloud , Ingeniería de datos , Microsoft Azure y Resolución de cuestiones",Data Engineer,,Andalucía,España,,277
Ingeniero de datos Scala,knowmad mood,2024-02-21,705,En remoto,Jornada completa,,"Python, Apache Spark y Scala",Data Engineer,,,España,,278
Clinical Database Programmer / Senior Clinical Database Programmer - Europe - Office or Home Based,Worldwide Clinical Trials,2024-02-28,45,En remoto,,Senior,"Conocimientos informáticos, Enfoque lógico, Estándares CDISC, Gestión de datos, Habilidad matemática, Logics, Programación SAS, SAS, SDTM y Sistemas de gestión",Data Engineer,,,España,,279
Data Engineer (Streamlit) - Airline Tech,TUI,2024-03-12,4,En remoto,Jornada completa,Intermedio,"Bases de datos, Comunicación y Resolución de problemas, Especificaciones, Especificaciones técnicas, Ingeniería de datos , Modelo-vista-presentador (MVP), Prueba de concepto, Requisitos técnicos y Snowflake",Data Engineer,Barcelona,Cataluña,España,,280
Data Engineer,"CDS, a Hewlett Packard Enterprise company",2024-02-13,408,Híbrido,Jornada completa,Intermedio,"Microsoft Power BI, Apache Kafka, Apache NiFi, Apache Storm, Bash, Big data, Elasticsearch, Java, Kibana, Linux y Rsyslog",Data Engineer,Las Rozas de Madrid,Comunidad de Madrid,España,,281
AWS Data Engineer,Innova-tsn,2024-02-28,63,Híbrido,Jornada completa,Intermedio,"Inglés, Python, SQL y Trabajo en equipo, Amazon Web Services (AWS), Análisis de Big Data, Big data, Extraer, transformar y cargar (ETL), Herramientas ETL, PySpark y Scala",Data Engineer,Barcelona,Cataluña,España,,282
Data Engineer - Google Cloud Platform (GCP),Inetum,2024-02-28,1004,En remoto,Jornada completa,Intermedio,"Google BigQuery, Google Cloud  y Looker (software)",Data Engineer,,,España,,283
Data Engineer - Veeva Link,Veeva Systems,2024-02-28,250,En remoto,Jornada completa,,"Ciencia de datos, Amazon Redshift, Apache Spark, Canalizaciones de datos, Discusiones técnicas, Extraer, transformar y cargar (ETL), Google Cloud , Ingeniería de datos , PySpark y Sistemas expertos",Data Engineer,,,España,,284
Salesforce Developer,The Cocktail,2024-02-28,1013,En remoto,Jornada completa,Intermedio,"Componentes web, Documentación, Documentación técnica, Lightning, Lightning Web Components, Programación Apex, Salesforce.com y Servicios web",Data Engineer,Madrid,Comunidad de Madrid,España,,285
BI Developer,OSP – Otto Group Solution Provider,2024-03-06,23,Híbrido,Jornada completa,Intermedio,Ingeniería de telecomunicaciones,Data Engineer,Madrid,Comunidad de Madrid,España,,286
Desarrollador Business Intelligence,SII Group Spain,2024-02-21,76,Presencial,Jornada completa,Intermedio,"Analítica de datos, Extraer, transformar y cargar (ETL), OBIEE, Oracle Data Integrator, Oracle Warehouse Builder, PowerCenter, Qlik Sense y QlikView",Data Engineer,Madrid,Comunidad de Madrid,España,,287
Database Migration Engineer Internship,Celestica,2024-02-21,46,Presencial,,Junior,"Bases de datos y Comunicación, Arquitectura de datos, Diseño de bases de datos, Migración de datos, Modelado de datos, PDM y PL/SQL",Data Engineer,Valencia,Comunidad Valenciana,España,,288
Power BI Frontend Developer,Claire Joster,2024-02-21,99,Híbrido,Jornada completa,Intermedio,"SQL, Inteligencia empresarial",Data Engineer,Málaga,Andalucía,España,,289
Tableau Developer,Akuaro,2024-03-06,28,Híbrido,Jornada completa,Intermedio,"Análisis de datos, Microsoft Power BI, SQL y Tableau, Azure Databricks, Big data y Extraer, transformar y cargar (ETL)",Data Engineer,Barcelona,Cataluña,España,,290
Research Data Engineer for the Health Domain,Vicomtech,2024-02-14,64,Presencial,Jornada completa,Intermedio,"Inglés, Investigación y Resolución de problemas, Dirección de equipos, Español, Garantías, Gestión tecnológica, Reflexión estratégica, Research Proposals y Seguridad digital",Data Engineer,,País Vasco,España,,291
Data Engineer Airflow,knowmad mood,2024-02-21,1071,Híbrido,Jornada completa,Intermedio,"Python y SQL, Amazon Web Services (AWS), Consultas, Desarrollo de innovación, Escucha activa, Física, IPython, Integración de equipos, Inteligencia empresarial y Mentoría",Data Engineer,Madrid,Comunidad de Madrid,España,,292
Big Data Engineer,Gaming Innovation Group,2024-03-06,34,Híbrido,Jornada completa,Junior,"Python, Apache NiFi, Apache Spark, Arquitectura de datos, Ciencias de la computación, Extraer, transformar y cargar (ETL), Ingeniería de datos , Java, Modelado de datos y Scala",Data Engineer,Madrid,Comunidad de Madrid,España,,293
Data Engineer (Real-Time Specialist),"Bluetab, an IBM Company",2024-03-06,56,En remoto,Jornada completa,Intermedio,"Capacidad de análisis, Amazon Web Services (AWS), Apache Spark, Big data, Computación en la nube, Hadoop, MapReduce, Microsoft Azure, Programación y Scala",Data Engineer,,,España,,294
Data Engineer (Data Integration / Data Quality) -híbrido-,DataSpurs,2024-03-06,72,Híbrido,Jornada completa,,"Análisis de Big Data, Big data, Calidad de datos, Extraer, transformar y cargar (ETL), Informatica Cloud, Informatica PowerCenter, Ingeniería de datos , Ingesta de datos, Integración de datos y Sistema de gestión de bases de datos relacionales",Data Engineer,Madrid,Comunidad de Madrid,España,,295
Data Engineer Lead,SGF Global,2024-03-09,37,Híbrido,Jornada completa,Intermedio,"Python, Amazon Web Services (AWS) y PySpark",Data Engineer,La Coruña,Galicia,España,,296
☁Administrador de Sistemas (Híbrido),knowmad mood,2024-03-06,825,Híbrido,Jornada completa,Intermedio,"Administración, Administración de servidores, Administración de sistemas, Ansible, Despliegue de sistemas, LDAP, Linux, Project Plus, Red Hat Linux y VMware",Data Engineer,Madrid,Comunidad de Madrid,España,,297
Cloud Engineer,Veridas,2024-02-21,35,Híbrido,Jornada completa,Intermedio,"Amazon Web Services (AWS), DevOps, Implementación de aplicaciones, Infraestructura como código (IaC), Infraestructura en la nube, Kubernetes, Operaciones, Secuencia de comandos, Servicios en la nube y Tecnología de la información",Data Engineer,Pamplona,Comunidad Foral de Navarra,España,,298
Senior Data Engineer (Freelancer),Robert Walters,2024-03-06,20,En remoto,Jornada completa,Senior,"Aprendizaje automático y Bases de datos, Almacenamiento de datos, Apache Spark, Desarrollo de software, Extraer, transformar y cargar (ETL), Hive, Hojas de estilos en cascada (CSS), Ingeniería de datos  y Transact-SQL (T-SQL)",Data Engineer,Barcelona,Cataluña,España,,299
Data Engineer - Metering Platform,Datadog,2024-02-21,1138,,,Junior,"Ciencia de datos, Python y SQL, Canalizaciones de datos, Ciencias de la computación, Desarrollo web back end, Extraer, transformar y cargar (ETL), Ingeniería de datos , Java y Scala",Data Engineer,Madrid,Comunidad de Madrid,España,,300
Cloud Data Engineer,IKERLAN,2024-02-21,23,Presencial,Jornada completa,Intermedio,"Bases de datos y Ciencia de datos, Almacenamiento de datos, Big data, Ciencias de la computación, Extraer, transformar y cargar (ETL), Ingeniería de datos  y Lagos de datos",Data Engineer,Mondragón,País Vasco,España,,301
Engineer - Cloud,TUI,2024-02-28,78,En remoto,Jornada completa,Intermedio,"Capacidad de análisis, Comunicación y Resolución de problemas, Razonamiento, Razonamiento abstracto y Resolución creativa de problemas",Data Engineer,Madrid,Comunidad de Madrid,España,,302
"Data Cloud Engineer (AWS, Azure)",NTT DATA Europe & Latam,2024-02-28,917,Híbrido,Jornada completa,Intermedio,"Amazon Web Services (AWS), Computación en la nube, DevOps, IaaS, Implementación de aplicaciones, Infraestructura de Azure como servicio (IaaS), Medios de streaming, Metodologías ágiles, Microsoft Azure y Plataforma como servicio (PaaS)",Data Engineer,Barcelona,Cataluña,España,,303
Desarrollador/a - SQL / JavaScript,Babel,2024-03-10,790,Híbrido,Jornada completa,Intermedio,"Apache NiFi, Apache Spark GraphX, Base de datos SQL y Treatment",Data Engineer,Madrid,Comunidad de Madrid,España,,304
Data Engineer - Scoring - Veeva Link,Veeva Systems,2024-02-28,599,En remoto,Jornada completa,,"Analítica de datos y Python, Amazon Redshift, Analítica, Discusiones técnicas, Extraer, transformar y cargar (ETL), Ingeniería de datos , Matemáticas, PySpark y Sistemas expertos",Data Engineer,,,España,,305
Data Engineer - Palantir Foundry,CGI,2024-03-06,30,,,Junior,"Analítica de datos, Ciencia de datos y Python, Almacenamiento de datos, Arquitectura de datos, Extraer, transformar y cargar (ETL), Ingeniería de datos , Lagos de datos, Modelado de datos y PySpark",Data Engineer,Madrid,Comunidad de Madrid,España,,306
Artificial Intelligence Engineer,Recodme,2024-02-28,892,Híbrido,Jornada completa,Intermedio,Inteligencia artificial,Data Engineer,,Comunidad de Madrid,España,,307
Databricks Data Engineer,SDG Group España,2024-02-28,48,En remoto,Jornada completa,Intermedio,"Bases de datos y Ciencia de datos, Almacenamiento de datos, Apache Spark, Control de versiones, Ingeniería de datos , Ingeniería informática, Minería de datos, Procesamiento por lotes y Scala",Data Engineer,,,España,,308
